20260313 050100;94.11;94.11;93.94;94.07;42
20260313 050200;94.1;94.24;94.1;94.24;19
20260313 050300;94.23;94.3;94.18;94.27;15
20260313 050400;94.3;94.35;94.26;94.26;8
20260313 050500;94.3;94.37;94.3;94.37;9
20260313 050600;94.27;94.3;94.27;94.28;7
20260313 050700;94.32;94.34;94.18;94.18;11
20260313 050800;94.27;94.27;94.21;94.21;8
20260313 050900;94.21;94.22;94.21;94.22;3
20260313 051100;94.24;94.24;94.2;94.2;5
20260313 051200;94.25;94.25;94.25;94.25;1
20260313 051300;94.24;94.24;94.24;94.24;1
20260313 051400;94.27;94.41;94.27;94.3;25
20260313 051500;94.33;94.37;94.33;94.37;6
20260313 051600;94.36;94.42;94.33;94.37;9
20260313 051700;94.38;94.38;94.35;94.35;3
20260313 051800;94.38;94.44;94.35;94.43;27
20260313 051900;94.43;94.43;94.38;94.38;15
20260313 052000;94.37;94.4;94.37;94.39;4
20260313 052200;94.32;94.32;94.32;94.32;2
20260313 052300;94.39;94.4;94.35;94.35;11
20260313 052400;94.29;94.29;94.09;94.11;17
20260313 052500;94.11;94.33;94.11;94.27;26
20260313 052600;94.36;94.41;94.36;94.41;7
20260313 052700;94.21;94.21;94.15;94.2;9
20260313 052800;94.2;94.21;94.08;94.08;25
20260313 052900;94.03;94.03;93.95;93.97;20
20260313 053000;94.12;94.12;94.06;94.06;4
20260313 053100;94.16;94.16;93.85;93.96;68
20260313 053200;94;94;93.76;93.8;31
20260313 053300;93.81;93.92;93.8;93.87;15
20260313 053400;93.94;93.95;93.89;93.92;11
20260313 053500;93.9;93.98;93.89;93.98;13
20260313 053600;93.98;94.06;93.98;94.06;21
20260313 053700;94;94;93.97;94;13
20260313 053800;94.03;94.03;93.79;93.82;19
20260313 053900;93.92;93.96;93.82;93.9;9
20260313 054000;93.89;93.91;93.86;93.86;6
20260313 054100;93.86;93.97;93.86;93.97;11
20260313 054200;93.98;94.18;93.95;94.18;25
20260313 054300;94.16;94.23;94.13;94.17;6
20260313 054400;94.15;94.17;94.07;94.07;6
20260313 054500;94.07;94.18;94.07;94.17;9
20260313 054600;94.16;94.17;94.05;94.05;8
20260313 054700;94.12;94.12;94.12;94.12;2
20260313 054800;94.15;94.15;94.1;94.1;6
20260313 054900;94.15;94.15;94.14;94.14;2
20260313 055000;94.13;94.13;94.1;94.1;3
20260313 055100;94.06;94.06;94.03;94.03;4
20260313 055200;94.03;94.07;94;94.03;11
20260313 055300;94.05;94.07;94.04;94.07;5
20260313 055400;94.03;94.11;94.03;94.11;3
20260313 055500;94.05;94.05;94.04;94.04;2
20260313 055600;93.97;93.98;93.78;93.79;23
20260313 055700;93.81;93.9;93.75;93.9;11
20260313 055800;93.82;93.83;93.77;93.77;11
20260313 055900;93.84;93.97;93.84;93.91;4
20260313 060000;93.91;93.91;93.91;93.91;1
20260313 060100;93.95;93.95;93.84;93.91;20
20260313 060200;93.94;94.04;93.91;93.91;16
20260313 060300;93.85;94.07;93.71;94.07;39
20260313 060400;94.09;94.15;94.08;94.13;12
20260313 060500;94.16;94.2;94.14;94.19;23
20260313 060600;94.18;94.2;94.1;94.1;15
20260313 060700;94.03;94.04;93.97;93.97;22
20260313 060800;93.98;94.06;93.91;93.93;7
20260313 060900;93.86;93.88;93.73;93.8;29
20260313 061000;93.75;93.82;93.75;93.75;10
20260313 061100;93.73;93.73;93.31;93.54;152
20260313 061200;93.46;93.62;93.42;93.61;24
20260313 061300;93.6;93.67;93.54;93.6;29
20260313 061400;93.66;93.8;93.62;93.73;18
20260313 061500;93.82;93.86;93.81;93.84;13
20260313 061600;93.85;93.94;93.85;93.94;16
20260313 061700;93.97;94.06;93.93;94.05;39
20260313 061800;94.08;94.08;93.93;93.93;20
20260313 061900;93.94;93.94;93.88;93.93;13
20260313 062000;93.9;93.95;93.9;93.95;5
20260313 062100;93.9;93.9;93.81;93.9;17
20260313 062200;93.79;93.87;93.76;93.82;11
20260313 062300;93.92;93.94;93.86;93.9;7
20260313 062400;93.92;94.1;93.91;93.91;23
20260313 062500;94.06;94.15;94;94.15;10
20260313 062600;94.18;94.52;94.16;94.52;47
20260313 062700;94.5;94.5;94.42;94.46;41
20260313 062800;94.48;94.58;94.43;94.45;40
20260313 062900;94.44;94.58;94.4;94.56;12
20260313 063000;94.53;94.53;94.39;94.41;11
20260313 063100;94.42;94.48;94.39;94.44;19
20260313 063200;94.38;94.38;94.24;94.3;18
20260313 063300;94.28;94.28;94.08;94.1;17
20260313 063400;94.06;94.24;94.03;94.24;12
20260313 063500;94.3;94.32;94.17;94.29;19
20260313 063600;94.33;94.36;94.3;94.36;12
20260313 063700;94.39;94.4;94.29;94.33;8
20260313 063800;94.41;94.42;94.38;94.41;9
20260313 063900;94.35;94.35;94.21;94.21;9
20260313 064000;94.18;94.23;94.16;94.23;10
20260313 064100;94.2;94.2;94.05;94.05;21
20260313 064200;94.16;94.16;94.15;94.15;2
20260313 064300;94.14;94.29;94.14;94.29;11
20260313 064400;94.29;94.51;94.29;94.49;18
20260313 064500;94.5;94.59;94.5;94.57;25
20260313 064600;94.6;94.69;94.51;94.69;24
20260313 064700;94.69;94.75;94.64;94.64;19
20260313 064800;94.62;94.65;94.6;94.62;15
20260313 064900;94.65;94.86;94.65;94.86;24
20260313 065000;94.89;94.94;94.87;94.92;30
20260313 065100;94.82;94.82;94.77;94.82;10
20260313 065200;94.85;94.89;94.76;94.76;11
20260313 065300;94.8;94.82;94.79;94.8;18
20260313 065400;94.8;94.92;94.8;94.84;23
20260313 065500;94.86;94.9;94.85;94.89;9
20260313 065600;94.97;94.97;94.94;94.94;5
20260313 065700;94.98;95.1;94.92;94.92;33
20260313 065800;94.94;95.16;94.9;95.11;21
20260313 065900;95.04;95.05;94.97;94.97;13
20260313 070000;95.01;95.09;94.94;95.08;34
20260313 070100;95.12;95.15;94.91;95.06;41
20260313 070200;95.04;95.15;95.04;95.15;16
20260313 070300;95.16;95.21;95;95.1;31
20260313 070400;95.04;95.06;95;95.03;12
20260313 070500;94.99;95.04;94.97;95.04;18
20260313 070600;95.04;95.1;95.04;95.1;4
20260313 070700;95.1;95.35;95.08;95.24;40
20260313 070800;95.24;95.27;95.21;95.22;67
20260313 070900;95.22;95.33;95.22;95.33;14
20260313 071000;95.28;95.38;95.23;95.38;28
20260313 071100;95.38;95.49;95.37;95.4;41
20260313 071200;95.4;95.47;95.38;95.44;16
20260313 071300;95.44;95.44;95.3;95.43;32
20260313 071400;95.5;95.75;95.5;95.69;54
20260313 071500;95.63;95.9;95.63;95.77;77
20260313 071600;95.79;95.79;95.59;95.64;26
20260313 071700;95.61;95.7;95.61;95.68;25
20260313 071800;95.74;95.88;95.69;95.77;30
20260313 071900;95.83;95.84;95.69;95.74;21
20260313 072000;95.65;95.65;95.52;95.55;24
20260313 072100;95.52;95.71;95.52;95.68;26
20260313 072200;95.71;95.79;95.71;95.75;36
20260313 072300;95.78;95.78;95.72;95.73;12
20260313 072400;95.76;95.8;95.73;95.75;21
20260313 072500;95.78;95.8;95.75;95.75;24
20260313 072600;95.73;95.75;95.62;95.62;25
